# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: 751c541c40ca
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,phase,stage,worker,Description
localhost:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,9,Number of tasks in worker local queue
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,458621.0000,458621.0000,458621.0000,0.0000,458621.0000,458621.0000,458621.0000,458621.0000,458621.0000,458621.0000,458621.0000,458621.0000,458621.0000,,,,0,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,1,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,10,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,11,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,12,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,13,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,14,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,15,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,16,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,83447.3849,9186.0000,334680.0000,75842.9211,9691.4100,12389.0000,15369.0000,26323.0000,67173.0000,100273.5000,142878.0000,285330.0000,328151.4900,,,,17,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,110242.1071,9409.0000,583558.0000,99699.3311,12538.3600,18873.0000,43582.0000,55929.7500,76753.5000,111839.0000,314290.0000,314290.0000,511170.1300,,,,18,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,19,Worker mean task poll time (nanoseconds)
